"","anon_id","assignment_name","score","course_id","course_name"
"1","man231","Exam1",120,"1244932","ANTH-125G F19"
"2","onn915","Exam1",123,"1244932","ANTH-125G F19"
"3","llo059","Exam1",99,"1244932","ANTH-125G F19"
"4","ers335","Exam1",90,"1244932","ANTH-125G F19"
"5","rez195","Exam1",108,"1244932","ANTH-125G F19"
"6","nte084","Exam1",114,"1244932","ANTH-125G F19"
"7","rez175","Exam1",132,"1244932","ANTH-125G F19"
"8","dom170","Exam1",111,"1244932","ANTH-125G F19"
"9","sco207","Exam1",66,"1244932","ANTH-125G F19"
"10","son736","Exam1",111,"1244932","ANTH-125G F19"
"11","nda257","Exam1",105,"1244932","ANTH-125G F19"
"12","llo278","Exam1",87,"1244932","ANTH-125G F19"
"13","les398","Exam1",120,"1244932","ANTH-125G F19"
"14","nez758","Exam1",108,"1244932","ANTH-125G F19"
"15","son163","Exam1",105,"1244932","ANTH-125G F19"
"16","ell773","Exam1",111,"1244932","ANTH-125G F19"
"17","tes577","Exam1",105,"1244932","ANTH-125G F19"
"18","ina624","Exam1",93,"1244932","ANTH-125G F19"
"19","tep393","Exam1",93,"1244932","ANTH-125G F19"
"20","ger413","Exam1",108,"1244932","ANTH-125G F19"
"21","res666","Exam1",63,"1244932","ANTH-125G F19"
"22","ado340","Exam1",84,"1244932","ANTH-125G F19"
"23","aya888","Exam1",108,"1244932","ANTH-125G F19"
"24","dez078","Exam1",90,"1244932","ANTH-125G F19"
"25","tiz281","Exam1",108,"1244932","ANTH-125G F19"
"26","aya041","Exam1",96,"1244932","ANTH-125G F19"
"27","uez168","Exam1",117,"1244932","ANTH-125G F19"
"28","ina853","Exam1",84,"1244932","ANTH-125G F19"
"29","ona128","Exam1",114,"1244932","ANTH-125G F19"
"30","nas826","Exam1",105,"1244932","ANTH-125G F19"
"31","ido404","Exam1",126,"1244932","ANTH-125G F19"
"32","ale585","Exam1",111,"1244932","ANTH-125G F19"
"33","son417","Exam1",126,"1244932","ANTH-125G F19"
"34","tiz022","Exam1",120,"1244932","ANTH-125G F19"
"35","urt762","Exam1",123,"1244932","ANTH-125G F19"
"36","ing762","Exam1",111,"1244932","ANTH-125G F19"
"37","res645","Exam1",117,"1244932","ANTH-125G F19"
"38","att054","Exam1",132,"1244932","ANTH-125G F19"
"39","ina094","Exam1",87,"1244932","ANTH-125G F19"
"40","ger440","Exam1",117,"1244932","ANTH-125G F19"
"41","ito078","Exam1",69,"1244932","ANTH-125G F19"
"42","ges084","Exam1",105,"1244932","ANTH-125G F19"
"43","ndo136","Exam1",108,"1244932","ANTH-125G F19"
"44","ias015","Exam1",120,"1244932","ANTH-125G F19"
"45","niz799","Exam1",123,"1244932","ANTH-125G F19"
"46","nez498","Exam1",60,"1244932","ANTH-125G F19"
"47","hes301","Exam1",132,"1244932","ANTH-125G F19"
"48","ugh367","Exam1",141,"1244932","ANTH-125G F19"
"49","iaz497","Exam1",81,"1244932","ANTH-125G F19"
"50","ssy677","Exam1",93,"1244932","ANTH-125G F19"
"51","nez215","Exam1",135,"1244932","ANTH-125G F19"
"52","ard532","Exam1",129,"1244932","ANTH-125G F19"
"53","nte941","Exam1",117,"1244932","ANTH-125G F19"
"54","ion136","Exam1",84,"1244932","ANTH-125G F19"
"55","rez095","Exam1",111,"1244932","ANTH-125G F19"
"56","gay571","Exam1",114,"1244932","ANTH-125G F19"
"57","eva137","Exam1",117,"1244932","ANTH-125G F19"
"58","rby447","Exam1",111,"1244932","ANTH-125G F19"
"59","tin485","Exam1",141,"1244932","ANTH-125G F19"
"60","les342","Exam1",123,"1244932","ANTH-125G F19"
"61","ett844","Exam1",75,"1244932","ANTH-125G F19"
"62","agi352","Exam1",96,"1244932","ANTH-125G F19"
"63","lez785","Exam1",105,"1244932","ANTH-125G F19"
"64","vel948","Exam1",66,"1244932","ANTH-125G F19"
"65","ard942","Exam1",117,"1244932","ANTH-125G F19"
"66","lan087","Exam1",105,"1244932","ANTH-125G F19"
"67","rza879","Exam1",144,"1244932","ANTH-125G F19"
"68","eed836","Exam1",90,"1244932","ANTH-125G F19"
"69","uez233","Exam1",81,"1244932","ANTH-125G F19"
"70","val419","Exam1",78,"1244932","ANTH-125G F19"
"71","ier722","Exam1",81,"1244932","ANTH-125G F19"
"72","man231","Exam2",87,"1244932","ANTH-125G F19"
"73","onn915","Exam2",126,"1244932","ANTH-125G F19"
"74","llo059","Exam2",78,"1244932","ANTH-125G F19"
"75","ers335","Exam2",99,"1244932","ANTH-125G F19"
"76","rez195","Exam2",99,"1244932","ANTH-125G F19"
"77","nte084","Exam2",108,"1244932","ANTH-125G F19"
"78","rez175","Exam2",114,"1244932","ANTH-125G F19"
"79","dom170","Exam2",117,"1244932","ANTH-125G F19"
"80","sco207","Exam2",78,"1244932","ANTH-125G F19"
"81","son736","Exam2",126,"1244932","ANTH-125G F19"
"82","nda257","Exam2",129,"1244932","ANTH-125G F19"
"83","llo278","Exam2",99,"1244932","ANTH-125G F19"
"84","les398","Exam2",93,"1244932","ANTH-125G F19"
"85","nez758","Exam2",99,"1244932","ANTH-125G F19"
"86","son163","Exam2",105,"1244932","ANTH-125G F19"
"87","ell773","Exam2",123,"1244932","ANTH-125G F19"
"88","tes577","Exam2",123,"1244932","ANTH-125G F19"
"89","ina624","Exam2",81,"1244932","ANTH-125G F19"
"90","tep393","Exam2",90,"1244932","ANTH-125G F19"
"91","ger413","Exam2",93,"1244932","ANTH-125G F19"
"92","res666","Exam2",72,"1244932","ANTH-125G F19"
"93","ado340","Exam2",96,"1244932","ANTH-125G F19"
"94","aya888","Exam2",105,"1244932","ANTH-125G F19"
"95","dez078","Exam2",108,"1244932","ANTH-125G F19"
"96","tiz281","Exam2",135,"1244932","ANTH-125G F19"
"97","aya041","Exam2",111,"1244932","ANTH-125G F19"
"98","uez168","Exam2",105,"1244932","ANTH-125G F19"
"99","ina853","Exam2",93,"1244932","ANTH-125G F19"
"100","ona128","Exam2",105,"1244932","ANTH-125G F19"
"101","nas826","Exam2",99,"1244932","ANTH-125G F19"
"102","ido404","Exam2",111,"1244932","ANTH-125G F19"
"103","ale585","Exam2",93,"1244932","ANTH-125G F19"
"104","son417","Exam2",84,"1244932","ANTH-125G F19"
"105","tiz022","Exam2",135,"1244932","ANTH-125G F19"
"106","urt762","Exam2",120,"1244932","ANTH-125G F19"
"107","ing762","Exam2",114,"1244932","ANTH-125G F19"
"108","res645","Exam2",126,"1244932","ANTH-125G F19"
"109","att054","Exam2",129,"1244932","ANTH-125G F19"
"110","ina094","Exam2",57,"1244932","ANTH-125G F19"
"111","ger440","Exam2",120,"1244932","ANTH-125G F19"
"112","ito078","Exam2",87,"1244932","ANTH-125G F19"
"113","ges084","Exam2",99,"1244932","ANTH-125G F19"
"114","ndo136","Exam2",99,"1244932","ANTH-125G F19"
"115","ias015","Exam2",126,"1244932","ANTH-125G F19"
"116","niz799","Exam2",96,"1244932","ANTH-125G F19"
"117","nez498","Exam2",0,"1244932","ANTH-125G F19"
"118","hes301","Exam2",123,"1244932","ANTH-125G F19"
"119","ugh367","Exam2",129,"1244932","ANTH-125G F19"
"120","iaz497","Exam2",96,"1244932","ANTH-125G F19"
"121","ssy677","Exam2",114,"1244932","ANTH-125G F19"
"122","nez215","Exam2",117,"1244932","ANTH-125G F19"
"123","ard532","Exam2",114,"1244932","ANTH-125G F19"
"124","nte941","Exam2",96,"1244932","ANTH-125G F19"
"125","ion136","Exam2",93,"1244932","ANTH-125G F19"
"126","rez095","Exam2",81,"1244932","ANTH-125G F19"
"127","gay571","Exam2",105,"1244932","ANTH-125G F19"
"128","eva137","Exam2",111,"1244932","ANTH-125G F19"
"129","rby447","Exam2",87,"1244932","ANTH-125G F19"
"130","tin485","Exam2",141,"1244932","ANTH-125G F19"
"131","les342","Exam2",93,"1244932","ANTH-125G F19"
"132","ett844","Exam2",105,"1244932","ANTH-125G F19"
"133","agi352","Exam2",114,"1244932","ANTH-125G F19"
"134","lez785","Exam2",99,"1244932","ANTH-125G F19"
"135","vel948","Exam2",0,"1244932","ANTH-125G F19"
"136","ard942","Exam2",111,"1244932","ANTH-125G F19"
"137","lan087","Exam2",108,"1244932","ANTH-125G F19"
"138","rza879","Exam2",138,"1244932","ANTH-125G F19"
"139","eed836","Exam2",90,"1244932","ANTH-125G F19"
"140","uez233","Exam2",81,"1244932","ANTH-125G F19"
"141","val419","Exam2",84,"1244932","ANTH-125G F19"
"142","ier722","Exam2",84,"1244932","ANTH-125G F19"
"143","man231","FinalExam",141,"1244932","ANTH-125G F19"
"144","onn915","FinalExam",168,"1244932","ANTH-125G F19"
"145","llo059","FinalExam",96,"1244932","ANTH-125G F19"
"146","ers335","FinalExam",129,"1244932","ANTH-125G F19"
"147","rez195","FinalExam",120,"1244932","ANTH-125G F19"
"148","nte084","FinalExam",183,"1244932","ANTH-125G F19"
"149","rez175","FinalExam",180,"1244932","ANTH-125G F19"
"150","dom170","FinalExam",162,"1244932","ANTH-125G F19"
"151","sco207","FinalExam",105,"1244932","ANTH-125G F19"
"152","son736","FinalExam",165,"1244932","ANTH-125G F19"
"153","nda257","FinalExam",207,"1244932","ANTH-125G F19"
"154","llo278","FinalExam",144,"1244932","ANTH-125G F19"
"155","les398","FinalExam",0,"1244932","ANTH-125G F19"
"156","nez758","FinalExam",126,"1244932","ANTH-125G F19"
"157","son163","FinalExam",156,"1244932","ANTH-125G F19"
"158","ell773","FinalExam",153,"1244932","ANTH-125G F19"
"159","tes577","FinalExam",165,"1244932","ANTH-125G F19"
"160","ina624","FinalExam",96,"1244932","ANTH-125G F19"
"161","tep393","FinalExam",150,"1244932","ANTH-125G F19"
"162","ger413","FinalExam",135,"1244932","ANTH-125G F19"
"163","res666","FinalExam",69,"1244932","ANTH-125G F19"
"164","ado340","FinalExam",159,"1244932","ANTH-125G F19"
"165","aya888","FinalExam",165,"1244932","ANTH-125G F19"
"166","dez078","FinalExam",147,"1244932","ANTH-125G F19"
"167","tiz281","FinalExam",171,"1244932","ANTH-125G F19"
"168","aya041","FinalExam",162,"1244932","ANTH-125G F19"
"169","uez168","FinalExam",159,"1244932","ANTH-125G F19"
"170","ina853","FinalExam",159,"1244932","ANTH-125G F19"
"171","ona128","FinalExam",168,"1244932","ANTH-125G F19"
"172","nas826","FinalExam",147,"1244932","ANTH-125G F19"
"173","ido404","FinalExam",144,"1244932","ANTH-125G F19"
"174","ale585","FinalExam",147,"1244932","ANTH-125G F19"
"175","son417","FinalExam",159,"1244932","ANTH-125G F19"
"176","tiz022","FinalExam",195,"1244932","ANTH-125G F19"
"177","urt762","FinalExam",165,"1244932","ANTH-125G F19"
"178","ing762","FinalExam",174,"1244932","ANTH-125G F19"
"179","res645","FinalExam",147,"1244932","ANTH-125G F19"
